Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,0.0016,0.0892,-23.5137,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0101,-0.0004,0.0857,-23.5025,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0207,0.0051,0.0913,-23.5080,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0300,0.0026,0.0884,-23.5089,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0402,0.0029,0.0927,-23.5066,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0500,0.0026,0.0947,-23.5208,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0599,0.0049,0.0872,-23.5203,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0703,0.0090,0.0935,-23.5078,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0800,0.0060,0.0866,-23.5041,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0902,0.0044,0.0880,-23.5029,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1001,0.0027,0.0970,-23.5107,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1101,0.0026,0.0795,-23.5202,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1208,0.0004,0.0833,-23.5130,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1300,-0.0018,0.0909,-23.5028,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1403,0.0004,0.0855,-23.4991,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1500,0.0050,0.0814,-23.5019,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1599,0.0014,0.0804,-23.5193,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1704,0.0035,0.0855,-23.5131,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1801,0.0063,0.0917,-23.5021,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.1903,0.0054,0.0780,-23.5042,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2000,0.0030,0.0784,-23.5018,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2101,-0.0005,0.0881,-23.5028,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2203,0.0007,0.0872,-23.5070,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2301,0.0055,0.0897,-23.4993,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2407,0.0035,0.0807,-23.5051,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2500,0.0042,0.0862,-23.5136,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2600,0.0046,0.0917,-23.5067,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2703,-0.0006,0.0885,-23.5027,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2800,0.0025,0.0865,-23.5001,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.2903,0.0011,0.0850,-23.5151,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3000,0.0031,0.0890,-23.5146,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3102,0.0083,0.0965,-23.4988,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3209,0.0059,0.0869,-23.4971,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3300,0.0037,0.0834,-23.4997,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3404,0.0050,0.0899,-23.5053,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3500,0.0016,0.0945,-23.5143,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3600,0.0076,0.0950,-23.5155,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3703,0.0109,0.0850,-23.5013,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3801,0.0135,0.0833,-23.4969,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.3903,0.0066,0.0927,-23.5068,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4000,0.0072,0.0922,-23.5115,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4101,0.0022,0.0839,-23.5118,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4203,-0.0014,0.0802,-23.5131,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4300,-0.0035,0.0798,-23.5096,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4408,0.0009,0.0818,-23.5095,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4499,0.0090,0.0804,-23.5024,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4601,0.0104,0.0818,-23.5038,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4704,0.0091,0.0873,-23.5086,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4801,0.0098,0.0875,-23.5048,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.4903,0.0042,0.0878,-23.5058,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5000,-0.0030,0.0817,-23.5021,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5101,0.0028,0.0828,-23.4982,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5209,0.0038,0.0909,-23.5044,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5300,0.0038,0.0898,-23.5064,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5403,0.0066,0.0851,-23.5030,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5500,0.0066,0.0884,-23.5013,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5600,0.0085,0.0930,-23.4985,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5704,0.0033,0.0923,-23.4988,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5800,-0.0019,0.0857,-23.5119,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.5904,0.0041,0.0819,-23.5115,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6000,0.0060,0.0913,-23.5069,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6101,0.0076,0.0996,-23.5048,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6203,0.0075,0.0972,-23.4992,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6300,0.0069,0.0837,-23.5028,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6407,0.0019,0.0825,-23.5057,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6500,0.0031,0.0897,-23.5078,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6601,-0.0019,0.0924,-23.5106,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6703,0.0006,0.0875,-23.4966,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6801,0.0075,0.0888,-23.4943,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.6903,0.0117,0.0911,-23.5050,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7000,0.0061,0.0939,-23.5036,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7100,0.0044,0.0884,-23.5110,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7209,0.0052,0.0829,-23.5126,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7300,0.0045,0.0880,-23.4981,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7404,0.0018,0.0926,-23.4954,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7500,0.0043,0.0930,-23.5037,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7600,0.0081,0.0876,-23.5048,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7703,0.0073,0.0864,-23.5062,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7800,0.0050,0.0959,-23.5015,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.7903,0.0022,0.0940,-23.4932,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8000,-0.0026,0.0883,-23.4941,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8101,0.0052,0.0861,-23.4987,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8203,0.0109,0.0904,-23.5086,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8300,0.0030,0.0940,-23.5141,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8408,0.0036,0.0871,-23.5026,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8500,0.0033,0.0828,-23.4937,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8600,0.0072,0.0868,-23.4955,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8703,0.0088,0.1007,-23.4968,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8799,0.0047,0.0996,-23.5071,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.8904,-0.0023,0.0891,-23.5120,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.9000,-0.0055,0.0830,-23.5020,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
